"","Ib_FALSE.mean_RT","Ib_FALSE.Fly_021","Ib_FALSE.Fly_023","Ib_FALSE.Fly_024","Ib_FALSE.Fly_025","Ib_FALSE.Fly_026","Ib_FALSE.Fly_031","Ib_FALSE.Fly_032","Ib_FALSE.Fly_034","Ib_FALSE.Fly_035","Ib_FALSE.Fly_036"
"P247",42.8648,42.867,42.86,42.86,42.867,42.867,42.867,42.88,42.853,42.867,42.86
"P248",42.9819,42.984,42.977,42.977,42.977,42.984,42.984,42.998,42.977,42.984,42.977
"P249",43.241,0,0,0,0,0,0,43.246,0,0,0
"P250",43.3538571428571,43.357,43.364,0,0,43.363,43.35,43.342,43.35,0,43.356
"P251",43.4623333333333,43.439,43.453,43.515,43.453,43.446,43.453,43.522,43.439,43.446,0
"P252",43.6468571428571,43.646,43.653,0,43.653,43.646,43.646,43.653,0,43.646,0
"P253",43.7345,43.743,43.736,43.722,43.736,43.736,43.729,43.749,43.729,43.736,43.729
"P254",43.8585555555556,43.853,43.86,0,43.86,43.86,43.853,43.866,43.853,43.867,43.86
"P255",43.9476,43.95,43.957,43.922,43.943,43.956,43.943,43.984,43.936,43.956,43.929
"P256",44.0396,44.046,44.046,44.018,44.039,44.046,44.025,44.08,44.025,44.046,44.025
"P257",44.2634444444444,44.274,44.274,44.239,44.267,44.294,44.246,0,44.246,44.273,44.253
"P258",44.344,0,0,0,0,0,0,44.349,0,0,0
"P259",44.524,0,44.529,0,0,0,0,0,0,0,0
"P260",44.6058,44.598,44.605,44.604,44.604,44.611,44.605,44.618,44.598,44.611,44.604
"P261",44.727,44.736,0,0,0,0,0,44.728,0,0,0
"P262",44.8892857142857,44.88,44.88,0,0,44.887,44.922,44.894,0,44.88,44.887
"P263",44.9405,0,0,44.935,44.935,0,0,44.949,44.943,0,0
"P264",45.1874,45.184,45.191,45.191,45.184,45.198,45.177,45.211,45.191,45.156,45.191
"P265",45.339,45.336,45.349,0,0,45.342,0,45.349,0,0,0
"P266",45.4082,45.404,45.411,45.404,45.404,45.411,45.404,45.425,45.411,45.404,45.404
"P267",45.468,0,0,0,0,0,0,45.473,0,0,0
"P268",45.6328888888889,45.632,45.632,0,45.632,45.639,45.625,45.652,45.625,45.632,45.632
"P269",45.836,45.839,0,0,45.846,45.839,0,45.825,0,45.846,0
"P270",46.119,46.115,46.122,46.115,46.115,46.122,46.122,46.135,46.115,46.121,46.108
"P271",46.3736666666667,46.37,46.377,46.363,46.377,46.384,46.37,0,46.37,46.377,46.37
"P272",46.458,0,46.473,46.466,0,46.466,0,46.438,0,0,46.452
"P273",46.6396,46.639,46.639,46.632,46.639,46.639,46.639,46.666,46.632,46.632,46.639
"P274",46.795,46.797,46.804,46.839,46.79,46.797,46.797,46.749,46.79,46.797,46.79
"P275",47.0144,47.011,47.011,47.004,47.018,47.018,47.018,47.024,47.011,47.011,47.018
"P276",47.1245,0,47.135,47.114,0,0,0,0,0,0,0
"P277",47.25575,0,0,47.225,0,47.28,0,47.266,0,47.252,0
"P278",47.3841,47.377,47.377,47.37,47.376,47.383,47.377,47.452,47.37,47.383,47.376
"P279",47.492,0,0,47.487,0,0,0,0,0,0,0
"P280",47.6578571428571,47.659,47.659,47.659,0,47.666,47.645,0,47.646,0,47.666
"P281",47.79575,47.79,47.79,47.804,47.797,47.79,0,47.804,0,47.811,47.79
"P282",47.902,0,0,0,0,0,0,47.907,0,0,0
"P283",48.171,0,0,0,0,0,0,48.176,0,0,0
"P284",48.257,0,0,48.252,0,0,0,0,0,0,0
"P285",48.364,48.363,48.363,48.349,48.376,48.369,48.356,48.39,48.356,48.369,48.349
"P286",48.49,0,0,48.445,0,0,0,48.535,0,0,0
"P287",48.59275,48.583,48.59,0,0,48.604,0,0,0,48.604,0
"P288",48.676,0,0,48.693,0,0,0,48.659,0,0,0
"P289",48.866,48.866,48.873,48.838,48.887,48.887,48.88,48.81,48.866,48.88,48.873
"P290",49.047,0,0,0,0,0,0,49.052,0,0,0
"P291",49.185,0,0,0,0,0,0,49.19,0,0,0
"P292",49.268,0,0,0,0,49.273,0,0,0,0,0
"P293",49.364,0,0,0,0,0,0,49.369,0,0,0
"P294",49.574,0,0,0,0,0,0,0,0,49.569,0
"P295",49.752,0,0,49.714,0,0,0,49.79,0,0,0
"P296",49.8884285714286,49.893,49.88,49.879,49.886,49.907,0,0,49.9,0,49.879
"P297",50.0246,0,50.031,50.024,0,50.017,50.018,50.038,0,0,0
"P298",50.178,0,0,0,0,0,0,50.183,0,0,0
"P299",50.695,0,0,0,0,0,0,50.7,0,0,0
"P300",50.8745,0,0,0,0,0,50.873,0,50.866,0,0
"P301",50.991,0,0,0,0,0,0,50.996,0,0,0
"P302",51.281,0,0,0,51.286,0,0,0,0,0,0
"P303",51.426,0,0,0,0,0,0,51.431,0,0,0
"P304",51.653,0,0,0,0,0,0,51.658,0,0,0
"P305",52.15975,52.148,52.162,0,52.155,52.169,0,52.168,52.176,52.169,52.141
"P306",52.461,0,52.486,0,52.458,52.472,0,0,52.438,0,0
"P307",52.581,0,0,0,0,0,52.576,0,0,0,0
"P308",52.756,0,0,0,0,0,0,52.761,0,0,0
"P309",53.6853333333333,0,53.665,0,0,0,53.686,0,0,0,53.7
"P310",53.872,0,0,0,53.886,0,0,0,53.858,0,0
"P311",54.9038,54.934,54.872,0,54.954,54.892,0,54.892,0,0,0
"P312",55.9081,55.92,55.92,55.892,55.899,55.899,55.92,55.906,55.899,55.906,55.92
"P313",56.4355,0,56.437,0,0,56.444,0,0,0,0,0
"P314",57.456,57.458,0,0,57.464,0,0,0,0,0,0
"P315",57.592,0,0,0,0,57.568,0,0,0,57.616,0
